id	updated_at	exported_at	created_at	license_numer	owner_name	business_name	business_num	street	city	zip	cancel	date_entry	business_type
11	2013-03-06 22:24:57	2013-03-07 15:22:52	2013-03-05	31388982	Budget Truck Rental LLC	Same	5418	NORTH BEND RD	CINCINNATI	45247	No	2013-01-08	Auto/Truck/RV Equipment Rental/Leasing
12	2013-03-06 22:24:48	2013-03-07 15:22:52	2013-03-05	31388983	Budget Truck Rental LLC	Same	8900	ROSSASH RD	CINCINNATI	45236	No	2013-01-08	Auto/Truck/RV Equipment Rental/Leasing
13	2013-03-06 22:24:35	2013-03-07 15:22:52	2013-03-05	31388984	Yi Jiang	Silver Wok	9500	KENWOOD RD	CINCINNATI	45242	No	2013-01-08	Full-Service Restaurants/Cafeterias
14	2013-03-06 22:24:27	2013-03-07 15:22:53	2013-03-05	31388985	TJC Realty LLC	N/A	4500	MUCHMORE AVE	CINCINNATI	45243	No	2013-01-08	Residential Bldg Construction
15	2013-03-06 22:24:05	2013-03-07 15:22:53	2013-03-05	31388986	Don Birch	Don Birch's Xtreme Tire	22	W MITCHELL AVE	CINCINNATI	45237	No	2013-01-09	Auto Parts & Tire Stores
16	2013-03-06 22:23:57	2013-03-07 15:22:53	2013-03-05	31388987	Ronnetta Campbell	My Amore	2428	E GALBRAITH RD	CINCINNATI	45237	No	2013-01-09	Men's Clothing Stores
17	2013-03-06 22:23:34	2013-03-07 15:22:53	2013-03-05	31388988	Al Nisa Body Art Studio	Alnisa's Inc	10945	REED HARTMAN, STE 319	CINCINNATI	45242	No	2013-01-09	Cosmetics/Beauty Supplies Stores
18	2013-03-06 22:23:29	2013-03-07 15:22:53	2013-03-05	31388989	Tooson, Fay E.	Tooson Treasures	955	VENETIAN TER	CINCINNATI	45224	No	2013-01-10	Gift Stores
19	2013-03-06 22:23:22	2013-03-07 15:22:53	2013-03-05	31388990	WILLIE H. BAKER	BAKER'S TOW SERVICE	1627	NEWBROOK DR	CINCINNATI	45231	No	2013-01-11	Other Transportation Equipment Mfg
20	2013-03-06 22:23:19	2013-03-07 15:22:54	2013-03-05	31388991	Dipo Enterprise s, Inc	DBA: Cincy Store	2832	JEFFERSON	CINCINNATI	45219	No	2013-01-11	Convenience Stores
21	2013-03-06 22:23:05	2013-03-07 15:22:55	2013-03-05	31388992	TRACY BELLMAN	TRES BELLE CAKES	400	W BENSON	CINCINNATI	45215	No	2013-01-11	Baked Goods Stores
22	2013-03-06 22:22:54	2013-03-07 15:22:55	2013-03-05	31388993	ENERGYSOURCE LLC	ENERGYSOURCE LLC	3831	FOXTAIL LN	CINCINNATI	45248	No	2013-01-11	Other Miscellaneous Store Retailers
23	2013-03-06 22:11:03	2013-03-07 15:22:55	2013-03-05	31388994	CORBITT GRAPHICS, LLC	CORBITT GRAPHICS	8575	ST IVES PL	CINCINNATI	45255	No	2013-01-11	Other Misc Durable Goods
24	2013-03-06 21:59:22	2013-03-07 15:22:55	2013-03-05	31388995	DAHID AUTO SALES LLC	DAHID AUTO SALES LLC	2131	CENTRAL PARK	CINCINNATI	45214	No	2013-01-11	Used Car Dealers
25	2013-03-06 21:58:12	2013-03-07 15:22:56	2013-03-05	31388996	S&M ENTERTAINMENT	SHADES OF BLUE BAR & GRILL	340	GLENSPRINGS DR	SPRINGDALE	45246	No	2013-01-11	Full-Service Restaurants/Cafeterias
26	2013-03-06 21:57:51	2013-03-07 15:22:56	2013-03-05	31388997	Sasha Allen	Swept Away Property Cleanouts	7425	HARRISON AVE	CINCINNATI	45231	No	2013-01-14	Other Personal Services
27	2013-03-06 21:57:38	2013-03-07 15:22:56	2013-03-05	31388998	CARRINGTON CLARK	N/A	300	HILLSIDE AVE # 107	CINCINNATI	45215	No	2013-01-14	Convenience Stores
28	2013-03-06 21:57:30	2013-03-07 15:22:56	2013-03-05	31388999	Kieara Frances Calloway	Page Plus	1025	CENTRAL AVE	CINCINNATI	45202	No	2013-01-14	Telecommunications
29	2013-03-06 21:57:26	2013-03-07 15:22:57	2013-03-05	31389000	Nathaniel Brooks	Cliche Couture	718	YORKHAVEN	CINCINNATI	45246	No	2013-01-15	Other Clothing Stores
30	2013-03-06 21:45:45	2013-03-07 15:22:57	2013-03-05	31389001	Ronnette Williams	N/A	990	CLEVELAND AVE #2	CINCINNATI	45229	No	2013-01-16	Confectionery/Nut Stores
31	2013-03-06 21:33:53	2013-03-07 15:22:58	2013-03-05	31389002	JAMILLAH LUQMAN'S OILS & INSCENSE	N/A	6821	SIMPSON APT. 11	CINCINNATI	45239	No	2013-01-17	Other General Merchandise Stores
32	2013-03-06 21:33:39	2013-03-07 15:22:58	2013-03-05	31389003	Blink Make-Up and Design Studio, LLC	Blink MakeUp Studio	4029	HAMILTON AVE	CINCINNATI	45223	No	2013-01-17	Cosmetics/Beauty Supplies Stores
33	2013-03-06 21:33:33	2013-03-07 15:22:58	2013-03-05	31389004	CAREATIONS BY RENEE / CARLA RENEE BENNETT	N/A	8	RIDDLE RD	CINCINNATI	45215	No	2013-01-17	Florists
